english_name,hindi_name,sanskrit_name,scientific_name,family,description_english,description_hindi,uses_english,uses_hindi,preparation_english,preparation_hindi,parts_used_english,parts_used_hindi,properties_english,properties_hindi,precautions_english,precautions_hindi,dosage_english,dosage_hindi,therapeutic_actions_english,therapeutic_actions_hindi
Tulsi,तुलसी,तुलसी,Ocimum sanctum,Lamiaceae,"Sacred herb with adaptogenic properties. Known for its respiratory benefits and stress relief qualities.","अनुकूलनकारी गुणों वाली पवित्र जड़ी-बूटी। श्वसन संबंधी लाभ और तनाव से राहत के लिए प्रसिद्ध।","Respiratory health, immunity booster, stress relief, fever, cold, cough, asthma, bronchitis","श्वसन स्वास्थ्य, प्रतिरक्षा बूस्टर, तनाव से राहत, बुखार, सर्दी, खांसी, दमा, श्वसनी शोथ","Fresh leaves can be chewed, made into tea, or taken as powder. Extract can be used topically.","ताजे पत्ते चबाए जा सकते हैं, चाय बनाई जा सकती है, या पाउडर के रूप में लिया जा सकता है। अर्क बाहरी उपयोग के लिए।","Leaves, stems, seeds","पत्ती, तना, बीज","Warming, pungent, aromatic, adaptogenic, immunomodulator","उष्ण, तीक्ष्ण, सुगंधित, अनुकूलनकारी, प्रतिरक्षा संशोधक","May lower blood sugar levels. Avoid during pregnancy. May interact with blood thinning medications.","रक्त शर्करा का स्तर कम हो सकता है। गर्भावस्था में बचें। रक्त पतला करने वाली दवाओं के साथ प्रभाव डाल सकती है।","5-10 fresh leaves daily, or 1-2 tsp dried powder with water","प्रतिदिन 5-10 ताजे पत्ते, या 1-2 चम्मच सूखा पाउडर पानी के साथ","Adaptogenic, immunomodulator, expectorant, antioxidant, anti-inflammatory","अनुकूलनकारी, प्रतिरक्षा संशोधक, कफ निकालने वाला, एंटीऑक्सीडेंट, सूजन रोधी"
Turmeric,हल्दी,हरिद्रा,Curcuma longa,Zingiberaceae,"Golden spice with powerful anti-inflammatory and healing properties. Used extensively in cooking and medicine.","सुनहरा मसाला जिसमें शक्तिशाली सूजन रोधी और उपचार गुण हैं। खाना पकाने और दवा में व्यापक रूप से उपयोग किया जाता है।","Anti-inflammatory, wound healing, digestive aid, arthritis, skin conditions, liver support","सूजन रोधी, घाव भरना, पाचन सहायक, गठिया, त्वचा की समस्याएं, यकृत समर्थन","Fresh root can be grated, dried powder mixed with milk/water, paste for external application","ताजी जड़ को कद्दूकस किया जा सकता है, सूखा पाउडर दूध/पानी के साथ मिलाकर, बाहरी उपयोग के लिए पेस्ट","Rhizome (underground stem), fresh or dried","प्रकंद (भूमिगत तना), ताजा या सूखा","Warming, bitter, pungent, anti-inflammatory, antioxidant","उष्ण, कड़वा, तीक्ष्ण, सूजन रोधी, एंटीऑक्सीडेंट","May increase bleeding risk. Can interact with diabetes medications. Avoid large amounts if pregnant.","रक्तस्राव का जोखिम बढ़ा सकता है। मधुमेह की दवाओं के साथ प्रभाव डाल सकता है। गर्भावस्था में अधिक मात्रा से बचें।","1/2 to 1 tsp powder daily with meals, or fresh root 1-2 inches","भोजन के साथ प्रतिदिन 1/2 से 1 चम्मच पाउडर, या 1-2 इंच ताजी जड़","Anti-inflammatory, hepatoprotective, antioxidant, antimicrobial","सूजन रोधी, यकृत सुरक्षात्मक, एंटीऑक्सीडेंट, रोगाणुरोधी"
Neem,नीम,निम्ब,Azadirachta indica,Meliaceae,"Sacred tree known as nature's pharmacy. Excellent for skin conditions and blood purification.","प्रकृति की फार्मेसी के रूप में जाना जाने वाला पवित्र वृक्ष। त्वचा की समस्याओं और रक्त शुद्धीकरण के लिए उत्कृष्ट।","Antibacterial, antifungal, skin treatment, blood purification, diabetes support, dental health","जीवाणुरोधी, कवकरोधी, त्वचा उपचार, रक्त शुद्धीकरण, मधुमेह सहायक, दंत स्वास्थ्य","Leaves can be chewed, made into paste, oil extracted, powder form available","पत्तियों को चबाया जा सकता है, पेस्ट बनाया जा सकता है, तेल निकाला जा सकता है, पाउडर के रूप में उपलब्ध","Leaves, bark, oil, seeds","पत्तियां, छाल, तेल, बीज","Cooling, bitter, astringent, antimicrobial, blood purifying","शीतल, कड़वा, कसैला, रोगाणुरोधी, रक्त शुद्धीकरण","Very bitter taste. May lower blood sugar. Avoid internal use during pregnancy.","बहुत कड़वा स्वाद। रक्त शर्करा कम हो सकती है। गर्भावस्था में आंतरिक उपयोग से बचें।","2-4 leaves daily (chewed), 1/2 tsp powder, topical application as needed","प्रतिदिन 2-4 पत्ते (चबाकर), 1/2 चम्मच पाउडर, आवश्यकतानुसार बाहरी उपयोग","Antimicrobial, blood purifier, hepatoprotective, immunomodulator","रोगाणुरोधी, रक्त शोधक, यकृत सुरक्षात्मक, प्रतिरक्षा संशोधक"
Ginger,अदरक,आर्द्रक,Zingiber officinale,Zingiberaceae,"Warming spice excellent for digestion and circulation. Natural remedy for nausea and inflammation.","पाचन और परिसंचरण के लिए उत्कृष्ट उष्ण मसाला। मतली और सूजन के लिए प्राकृतिक उपचार।","Digestive aid, anti-nausea, circulation, cold and flu, motion sickness, inflammation","पाचन सहायक, मतली रोधी, परिसंचरण, सर्दी और फ्लू, यात्रा बीमारी, सूजन","Fresh root can be grated into tea, chewed raw, dried powder used in cooking","ताजी जड़ को चाय में कद्दूकस किया जा सकता है, कच्चा चबाया जा सकता है, सूखा पाउडर खाना पकाने में उपयोग","Fresh or dried rhizome","ताजा या सूखा प्रकंद","Warming, pungent, stimulating, carminative, anti-inflammatory","उष्ण, तीक्ष्ण, उत्तेजक, वायुनाशक, सूजन रोधी","May increase bleeding risk. Can cause heartburn in sensitive individuals. Use cautiously with gallstones.","रक्तस्राव का जोखिम बढ़ा सकता है। संवेदनशील व्यक्तियों में सीने में जलन हो सकती है। पित्त की पथरी के साथ सावधानी से उपयोग करें।","1-2 inches fresh root daily, or 1/2 tsp dried powder","प्रतिदिन 1-2 इंच ताजी जड़, या 1/2 चम्मच सूखा पाउडर","Digestive stimulant, anti-inflammatory, circulatory stimulant, anti-emetic","पाचन उत्तेजक, सूजन रोधी, परिसंचरण उत्तेजक, मतली रोधी"
Aloe Vera,एलोवेरा,कुमारी,Aloe barbadensis,Asphodelaceae,"Succulent plant with cooling gel excellent for skin healing and internal digestive support.","शीतल जेल वाला रसीला पौधा जो त्वचा की चिकित्सा और आंतरिक पाचन सहायता के लिए उत्कृष्ट है।","Skin healing, burns, wounds, digestive support, constipation, skin moisturizing","त्वचा चिकित्सा, जलन, घाव, पाचन सहायक, कब्ज, त्वचा नमीकरण","Fresh gel from leaves applied topically, small amounts can be consumed internally","पत्तियों से ताजा जेल बाहरी रूप से लगाया जाता है, छोटी मात्रा में आंतरिक सेवन किया जा सकता है","Leaf gel (mucilage)","पत्ती जेल (श्लेष्म)","Cooling, moisturizing, healing, anti-inflammatory, laxative","शीतल, नमी प्रदान करने वाला, उपचारक, सूजन रोधी, रेचक","May cause diarrhea if taken internally in large amounts. Avoid during pregnancy and breastfeeding.","बड़ी मात्रा में आंतरिक सेवन से दस्त हो सकते हैं। गर्भावस्था और स्तनपान के दौरान बचें।","Topical: Apply fresh gel as needed. Internal: 1-2 tbsp gel (cautiously)","बाहरी: आवश्यकतानुसार ताजा जेल लगाएं। आंतरिक: 1-2 चम्मच जेल (सावधानी से)","Wound healing, anti-inflammatory, moisturizing, mild laxative","घाव भरना, सूजन रोधी, नमी प्रदान करना, हल्का रेचक"
Ashwagandha,अश्वगंधा,अश्वगंधा,Withania somnifera,Solanaceae,"Powerful adaptogen known as Indian winter cherry. Excellent for stress management and energy.","भारतीय शीत चेरी के रूप में जाना जाने वाला शक्तिशाली अनुकूलनकारी। तनाव प्रबंधन और ऊर्जा के लिए उत्कृष्ट।","Stress relief, energy boost, sleep support, immunity, muscle strength, cognitive function","तनाव राहत, ऊर्जा वृद्धि, नींद सहायक, प्रतिरक्षा, मांसपेशी शक्ति, संज्ञानात्मक कार्य","Root powder mixed with warm milk or water, capsules, tinctures available","जड़ का पाउडर गर्म दूध या पानी के साथ मिलाकर, कैप्सूल, टिंचर उपलब्ध","Root (primarily), leaves occasionally","जड़ (मुख्यतः), कभी-कभी पत्तियां","Warming, bitter, adaptogenic, nervine, rejuvenative","उष्ण, कड़वा, अनुकूलनकारी, नर्वाइन, कायाकल्प","May increase sedation with medications. Avoid with autoimmune conditions. May affect thyroid function.","दवाओं के साथ बेहोशी बढ़ सकती है। स्वप्रतिरक्षी स्थितियों से बचें। थायरॉयड कार्य को प्रभावित कर सकता है।","1-2 tsp root powder daily with warm milk, preferably evening","गर्म दूध के साथ प्रतिदिन 1-2 चम्मच जड़ का पाउडर, अधिमानतः शाम को","Adaptogenic, anxiolytic, immunomodulator, rejuvenative","अनुकूलनकारी, चिंता रोधی, प्रतिरक्षा संशोधक, कायाकल्प"
Amla,आंवला,आमलकी,Emblica officinalis,Phyllanthaceae,"Vitamin C powerhouse fruit, considered one of the most important Ayurvedic herbs for longevity.","विटामिन सी से भरपूर फल, दीर्घायु के लिए सबसे महत्वपूर्ण आयुर्वेदिक जड़ी-बूटियों में से एक माना जाता है।","High vitamin C, immunity, hair care, skin health, antioxidant, eye health, liver support","उच्च विटामिन सी, प्रतिरक्षा, बाल की देखभाल, त्वचा स्वास्थ्य, एंटीऑक्सीडेंट, आंखों का स्वास्थ्य, यकृत सहायता","Fresh fruit juice, dried powder, pickles, candied form, oil for hair","ताजे फल का रस, सूखा पाउडर, अचार, मिठाई रूप, बालों के लिए तेल","Fresh fruit, dried powder","ताजा फल, सूखा पाउडर","Cooling, sour, astringent, antioxidant, rejuvenative","शीतल, खट्टा, कसैला, एंटीऑक्सीडेंट, कायाकल्प","Very high vitamin C may cause acidity in sensitive individuals. Fresh fruit is quite sour.","अत्यधिक विटामिन सी संवेदनशील व्यक्तियों में अम्लता का कारण हो सकता है। ताजा फल काफी खट्टा होता है।","1-2 fresh fruits daily, or 1 tsp powder with water in morning","प्रतिदिन 1-2 ताजे फल, या सुबह पानी के साथ 1 चम्मच पाउडर","Antioxidant, immunomodulator, hepatoprotective, anti-aging","एंटीऑक्सीडेंट, प्रतिरक्षा संशोधक, यकृत सुरक्षात्मक, वृद्धावस्था रोधी"
Mint,पुदीना,पुदीना,Mentha spicata,Lamiaceae,"Cooling herb excellent for digestion and respiratory issues. Refreshing taste and aroma.","पाचन और श्वसन संबंधी समस्याओं के लिए उत्कृष्ट शीतल जड़ी-बूटी। ताज़गी भरा स्वाद और सुगंध।","Digestive aid, cooling, respiratory support, nausea, bad breath, headache relief","पाचन सहायक, शीतलता, श्वसन सहायक, मतली, सांस की बदबू, सिरदर्द राहत","Fresh leaves in tea, chewed raw, essential oil, dried herb","चाय में ताजे पत्ते, कच्चा चबाकर, आवश्यक तेल, सूखी जड़ी-बूटी","Fresh leaves primarily","मुख्यतः ताजे पत्ते","Cooling, pungent, aromatic, carminative, antispasmodic","शीतल, तीक्ष्ण, सुगंधित, वायुनाशक, ऐंठन रोधी","Generally safe. May cause heartburn in some individuals. Essential oil should be diluted.","आम तौर पर सुरक्षित। कुछ व्यक्तियों में सीने में जलन हो सकती है। आवश्यक तेल को पतला करना चाहिए।","5-10 fresh leaves daily, or 1 cup mint tea","प्रतिदिन 5-10 ताजे पत्ते, या 1 कप पुदीना चाय","Digestive stimulant, cooling, antispasmodic, carminative","पाचन उत्तेजक, शीतल, ऐंठन रोधी, वायुनाशक"
Fenugreek,मेथी,मेथिका,Trigonella foenum-graecum,Fabaceae,"Seeds and leaves both valuable for blood sugar control and lactation support.","रक्त शर्करा नियंत्रण और स्तनपान सहायता के लिए बीज और पत्तियां दोनों मूल्यवान हैं।","Blood sugar control, lactation support, digestive health, cholesterol management","रक्त शर्करा नियंत्रण, स्तनपान सहायक, पाचन स्वास्थ्य, कोलेस्ट्रॉल प्रबंधन","Seeds soaked overnight and consumed, fresh leaves as vegetable, powder form","बीज रात भर भिगोकर सेवन, ताजी पत्तियां सब्जी के रूप में, पाउडर रूप","Seeds, fresh leaves","बीज, ताजी पत्तियां","Warming, bitter, mucilaginous, hypoglycemic","उष्ण, कड़वा, श्लेष्मी, हाइपोग्लाइसेमिक","May lower blood sugar significantly. Can interact with diabetes medications. May cause body odor.","रक्त शर्करा में महत्वपूर्ण कमी हो सकती है। मधुमेह की दवाओं के साथ प्रभाव डाल सकता है। शरीर की गंध का कारण हो सकता है।","1-2 tsp soaked seeds in morning, or fresh leaves as vegetable","सुबह 1-2 चम्मच भीगे हुए बीज, या ताजी पत्तियां सब्जी के रूप में","Hypoglycemic, galactagogue, digestive, anti-inflammatory","हाइपोग्लाइसेमिक, दूध बढ़ाने वाला, पाचक, सूजन रोधी"
Cinnamon,दालचीनी,त्वक्,Cinnamomum verum,Lauraceae,"Aromatic bark spice with blood sugar regulating and antimicrobial properties.","रक्त शर्करा नियंत्रण और रोगाणुरोधी गुणों के साथ सुगंधित छाल मसाला।","Blood sugar regulation, antimicrobial, digestive warming, circulation","रक्त शर्करा नियंत्रण, रोगाणुरोधी, पाचन उष्णता, परिसंचरण","Inner bark powder used in cooking, tea, capsules available","आंतरिक छाल का पाउडर खाना पकाने में उपयोग, चाय, कैप्सूल उपलब्ध","Inner bark","आंतरिक छाल","Warming, sweet, pungent, antimicrobial, hypoglycemic","उष्ण, मीठा, तीक्ष्ण, रोगाणुरोधी, हाइपोग्लाइसेमिक","May interact with blood thinners. Large amounts may be liver toxic (cassia variety). Monitor blood sugar.","रक्त पतला करने वाली दवाओं के साथ प्रभाव डाल सकता है। बड़ी मात्रा में यकृत विषाक्त हो सकता है (कैसिया किस्म)। रक्त शर्करा की निगरानी करें।","1/2 to 1 tsp powder daily with meals","भोजन के साथ प्रतिदिन 1/2 से 1 चम्मच पाउडर","Hypoglycemic, antimicrobial, circulatory stimulant, digestive","हाइपोग्लाइसेमिक, रोगाणुरोधी, परिसंचरण उत्तेजक, पाचक"